system:index,Heat_Risk,LST,NDVI,count,grid_id,.geo
+102027+29089,0.10306887476226222,27.68271835506017,0.24569672202775011,1,+102027+29089,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[91.65241349286242,26.131093299752763],[91.65331180814654,26.131093299752763],[91.65331180814654,26.13199161503688],[91.65241349286242,26.13199161503688],[91.65241349286242,26.131093299752763]]]}"
+102027+29090,0.2179441912389929,27.27964757486036,0.10203063553674735,1,+102027+29090,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[91.65241349286242,26.13199161503688],[91.65331180814654,26.13199161503688],[91.65331180814654,26.132889930321],[91.65241349286242,26.132889930321],[91.65241349286242,26.13199161503688]]]}"
+102027+29091,0.17004157243073062,28.11133096611385,0.20933921086311572,1,+102027+29091,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[91.65241349286242,26.132889930321],[91.65331180814654,26.132889930321],[91.65331180814654,26.13378824560512],[91.65241349286242,26.13378824560512],[91.65241349286242,26.132889930321]]]}"
+102027+29092,0.2041966946173844,29.36365928938727,0.26463611176741997,1,+102027+29092,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[91.65241349286242,26.13378824560512],[91.65331180814654,26.13378824560512],[91.65331180814654,26.13468656088924],[91.65241349286242,26.13468656088924],[91.65241349286242,26.13378824560512]]]}"
+102027+29093,0.24861709039335383,29.907269544944146,0.2590450199597998,1,+102027+29093,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[91.65241349286242,26.13468656088924],[91.65331180814654,26.13468656088924],[91.65331180814654,26.13558487617336],[91.65241349286242,26.13558487617336],[91.65241349286242,26.13468656088924]]]}"
+102027+29094,0.23120250753458813,29.947350125838007,0.2793225014538412,1,+102027+29094,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[91.65241349286242,26.13558487617336],[91.65331180814654,26.13558487617336],[91.65331180814654,26.13648319145748],[91.65241349286242,26.13648319145748],[91.65241349286242,26.13558487617336]]]}"
+102027+29095,0.2609393846066577,29.941532082973204,0.2491700498914276,1,+102027+29095,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[91.65241349286242,26.13648319145748],[91.65331180814654,26.13648319145748],[91.65331180814654,26.137381506741598],[91.65241349286242,26.137381506741598],[91.65241349286242,26.13648319145748]]]}"
+102027+29096,0.26683014138891575,29.611658552653648,0.21971689808634493,1,+102027+29096,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[91.65241349286242,26.137381506741598],[91.65331180814654,26.137381506741598],[91.65331180814654,26.13827982202572],[91.65241349286242,26.13827982202572],[91.65241349286242,26.137381506741598]]]}"
+102027+29097,0.21096822774279864,28.401440784106153,0.18913468540764128,1,+102027+29097,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[91.65241349286242,26.13827982202572],[91.65331180814654,26.13827982202572],[91.65331180814654,26.139178137309838],[91.65241349286242,26.139178137309838],[91.65241349286242,26.13827982202572]]]}"
+102027+29098,0.18382634690251567,28.63910774886367,0.23325277801631777,1,+102027+29098,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[91.65241349286242,26.139178137309838],[91.65331180814654,26.139178137309838],[91.65331180814654,26.140076452593956],[91.65241349286242,26.140076452593956],[91.65241349286242,26.139178137309838]]]}"
+102028+29088,0.11696200425120043,25.04374411077641,0.04330543223282907,1,+102028+29088,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[91.65331180814654,26.13019498446864],[91.65421012343066,26.13019498446864],[91.65421012343066,26.131093299752763],[91.65331180814654,26.131093299752763],[91.65331180814654,26.13019498446864]]]}"
