rank,grid_id,lat,lon,LST,recommended_action,cost_estimate,cooling_c,cooling_per_rupee,cumulative_cost,within_budget
1,+102070+29080,26.123457620034824,91.69149020785058,33.185050140206535,Cool roof,401310.0,1.0,2.491839226533104e-06,401310.0,True
2,+102069+29079,26.122559305114088,91.69059189247136,32.67233076755587,Cool roof,401310.0,1.0,2.491839226533104e-06,802620.0,True
3,+102070+29079,26.122559304989505,91.6914902077345,32.583600873336856,Cool roof,401310.0,1.0,2.491839226533104e-06,1203930.0,True
4,+102069+29080,26.12345761982448,91.69059189246168,32.527514553814385,Cool roof,401310.0,1.0,2.491839226533104e-06,1605240.0,True
5,+102071+29080,26.12345761998219,91.69238852270378,32.43040895262149,Cool roof,401310.0,1.0,2.491839226533104e-06,2006550.0,True
6,+102079+29076,26.11986435915575,91.699575045193,32.283162516694574,Cool roof,401310.0,1.0,2.491839226533104e-06,2407860.0,True
7,+102080+29076,26.11986435903233,91.70047336063298,32.24900409744066,Cool roof,401310.0,1.0,2.491839226533104e-06,2809170.0,True
8,+102070+29081,26.12435593500705,91.69149020793056,32.055750967761526,Cool roof,401310.0,1.0,2.491839226533104e-06,3210480.0,True
9,+102078+29076,26.119864359197702,91.69867672999273,31.78322786259777,Cool roof,401310.0,1.0,2.491839226533104e-06,3611790.0,True
10,+102074+29077,26.120762673363853,91.69508346899912,31.59828900927486,Cool roof,401310.0,1.0,2.491839226533104e-06,4013100.0,True
11,+102071+29079,26.122559304966227,91.69238852291404,31.586024578107555,Cool roof,401310.0,1.0,2.491839226533104e-06,4414410.0,True
12,+102069+29078,26.121660989206937,91.69059189267054,31.54306660677376,Cool roof,401310.0,1.0,2.491839226533104e-06,4815720.0,True
13,+102080+29077,26.120762673860742,91.70047336052544,31.46396441727703,Cool roof,401310.0,1.0,2.491839226533104e-06,5217030.0,True
14,+102068+29079,26.122559305157896,91.68969357699436,31.45345099162013,Cool roof,401310.0,1.0,2.491839226533104e-06,5618340.0,True
15,+102069+29081,26.12435593519001,91.69059189241564,31.40029385865225,Cool roof,401310.0,1.0,2.491839226533104e-06,6019650.0,True
16,+102079+29077,26.12076267382935,91.69957504518642,31.375578216500028,Cool roof,401310.0,1.0,2.491839226533104e-06,6420960.0,True
17,+102070+29078,26.12166098911139,91.69149020780836,31.333289038159023,Cool roof,401310.0,1.0,2.491839226533104e-06,6822270.0,True
18,+102081+29076,26.119864359191727,91.70137167576505,31.272849689050275,Cool roof,401310.0,1.0,2.491839226533104e-06,7223580.0,True
19,+102072+29079,26.12255930486185,91.69328683833106,31.26412084886873,Cool roof,401310.0,1.0,2.491839226533104e-06,7624890.0,True
20,+102072+29080,26.123457619848804,91.69328683824637,31.21030098304208,Cool roof,401310.0,1.0,2.491839226533104e-06,8026200.0,True
21,+102198+29145,26.18184811358215,91.80647456397172,31.182242322981853,Cool roof,401310.0,1.0,2.491839226533104e-06,8427510.0,True
22,+102069+29082,26.1252542509475,91.69059189255938,31.04974034305867,Cool roof,401310.0,1.0,2.491839226533104e-06,8828820.0,True
23,+102081+29075,26.11896604338158,91.70137167571404,31.0037892173394,Cool roof,401310.0,1.0,2.491839226533104e-06,9230130.0,True
24,+102073+29078,26.121660989431117,91.69418515336146,30.9774288220084,Cool roof,401310.0,1.0,2.491839226533104e-06,9631440.0,True
25,+102077+29076,26.119864359340085,91.69777841471078,30.973746683310083,Cool roof,401310.0,1.0,2.491839226533104e-06,10032750.0,True
26,+102102+29083,26.12615256578858,91.7202362965612,30.96832735071069,Cool roof,401310.0,1.0,2.491839226533104e-06,10434060.0,True
27,+102059+29081,26.12435593495705,91.6816087395398,30.944229264085223,Cool roof,401310.0,1.0,2.491839226533104e-06,10835370.0,True
28,+102073+29077,26.120762673572965,91.69418515347556,30.92573706258697,Cool roof,401310.0,1.0,2.491839226533104e-06,11236680.0,True
29,+102072+29078,26.121660989223475,91.69328683837988,30.91586709743018,Cool roof,401310.0,1.0,2.491839226533104e-06,11637990.0,True
30,+102063+29070,26.11447446710848,91.68520200089904,30.892850360796107,Cool roof,401310.0,1.0,2.491839226533104e-06,12039300.0,True
31,+102080+29075,26.118966043377,91.7004733604806,30.85074749118369,Cool roof,401310.0,1.0,2.491839226533104e-06,12440610.0,True
32,+102102+29082,26.125254250827627,91.72023629658064,30.83176041395253,Cool roof,401310.0,1.0,2.491839226533104e-06,12841920.0,True
33,+102074+29078,26.121660989557306,91.69508346901036,30.762584892562867,Cool roof,401310.0,1.0,2.491839226533104e-06,13243230.0,True
34,+102078+29077,26.120762673716676,91.69867673008706,30.762286923923167,Cool roof,401310.0,1.0,2.491839226533104e-06,13644540.0,True
35,+102071+29078,26.121660989116787,91.69238852286234,30.74531458270952,Cool roof,401310.0,1.0,2.491839226533104e-06,14045850.0,True
36,+102071+29081,26.124355935107623,91.69238852268327,30.7328824897137,Cool roof,401310.0,1.0,2.491839226533104e-06,14447160.0,True
37,+102088+29072,26.11627109761135,91.70765988293584,30.6858471653766,Cool roof,401310.0,1.0,2.491839226533104e-06,14848470.0,True
38,+102060+29117,26.15669528549467,91.68250705474952,30.645453858376413,Cool roof,401310.0,1.0,2.491839226533104e-06,15249780.0,True
39,+102198+29146,26.18274642846945,91.80647456379856,30.639059743125472,Cool roof,401310.0,1.0,2.491839226533104e-06,15651090.0,True
40,+102055+29073,26.11716941303972,91.67801547843771,30.63183935075316,Cool roof,401310.0,1.0,2.491839226533104e-06,16052400.0,True
41,+102072+29077,26.12076267388303,91.69328683839282,30.58785760523571,Cool roof,401310.0,1.0,2.491839226533104e-06,16453710.0,True
42,+102058+29070,26.11447446725633,91.68071042416068,30.576479412794477,Cool roof,401310.0,1.0,2.491839226533104e-06,16855020.0,True
43,+102061+29117,26.156695285471717,91.68340537025992,30.541042533556507,Cool roof,401310.0,1.0,2.491839226533104e-06,17256330.0,True
44,+102088+29071,26.115372782393514,91.7076598830128,30.54049277143481,Cool roof,401310.0,1.0,2.491839226533104e-06,17657640.0,True
45,+102074+29076,26.11986435946048,91.69508346895246,30.53912228752097,Cool roof,401310.0,1.0,2.491839226533104e-06,18058950.0,True
46,+102069+29083,26.126152565504345,91.69059189266656,30.521431769855003,Cool roof,401310.0,1.0,2.491839226533104e-06,18460260.0,True
47,+102050+29091,26.1333390882899,91.67352390207664,30.520001544703213,Cool roof,401310.0,1.0,2.491839226533104e-06,18861570.0,True
48,+102067+29079,26.12255930512077,91.68879526210983,30.50568843198745,Cool roof,401310.0,1.0,2.491839226533104e-06,19262880.0,True
49,+102068+29078,26.121660989221045,91.689693576867,30.47302465495113,Cool roof,401310.0,1.0,2.491839226533104e-06,19664190.0,True
50,+102079+29075,26.11896604329077,91.69957504539155,30.448645158179943,Cool roof,401310.0,1.0,2.491839226533104e-06,20065500.0,True
51,+102071+29077,26.12076267392973,91.692388522775,30.44600977523569,Cool roof,401310.0,1.0,2.491839226533104e-06,20466810.0,True
52,+102073+29079,26.122559304858594,91.6941851536638,30.44176263882846,Cool roof,401310.0,1.0,2.491839226533104e-06,20868120.0,True
53,+102078+29075,26.118966043487035,91.69867673008966,30.402277966197648,Cool roof,401310.0,1.0,2.491839226533104e-06,21269430.0,True
54,+102066+29079,26.12255930500272,91.68789694655868,30.399087297039124,Cool roof,401310.0,1.0,2.491839226533104e-06,21670740.0,True
55,+102060+29081,26.124355935033343,91.68250705474982,30.39585784099164,Cool roof,401310.0,1.0,2.491839226533104e-06,22072050.0,True
56,+102066+29078,26.121660989188307,91.68789694645656,30.39031310603353,Cool roof,401310.0,1.0,2.491839226533104e-06,22473360.0,True
57,+102102+29084,26.127050881045303,91.72023629673856,30.389258102653635,Cool roof,401310.0,1.0,2.491839226533104e-06,22874670.0,True
58,+102071+29121,26.16028854709237,91.6923885226561,30.3875407385545,Cool roof,401310.0,1.0,2.491839226533104e-06,23275980.0,True
59,+102103+29083,26.12615256563016,91.72113461215577,30.383380881467414,Cool roof,401310.0,1.0,2.491839226533104e-06,23677290.0,True
60,+102070+29121,26.160288547244992,91.69149020788517,30.3775049354289,Cool roof,401310.0,1.0,2.491839226533104e-06,24078600.0,True
61,+102087+29072,26.116271097554304,91.7067615673548,30.376704875219986,Cool roof,401310.0,1.0,2.491839226533104e-06,24479910.0,True
62,+102054+29085,26.127949196119925,91.677117163048,30.37400113069833,Cool roof,401310.0,1.0,2.491839226533104e-06,24881220.0,True
63,+102048+29097,26.138728979910606,91.67172727123568,30.359341476833094,Cool roof,401310.0,1.0,2.491839226533104e-06,25282530.0,True
64,+102073+29076,26.119864359277155,91.6941851535542,30.33313443556487,Cool roof,401310.0,1.0,2.491839226533104e-06,25683840.0,True
65,+102065+29078,26.121660989323523,91.68699863117256,30.32253868641762,Cool roof,401310.0,1.0,2.491839226533104e-06,26085150.0,True
66,+102072+29076,26.119864359012364,91.69328683837033,30.317297085914817,Cool roof,401310.0,1.0,2.491839226533104e-06,26486460.0,True
67,+102103+29082,26.12525425087441,91.7211346122748,30.298826119403785,Cool roof,401310.0,1.0,2.491839226533104e-06,26887770.0,True
68,+102095+29070,26.114474467194363,91.71394808978988,30.2797071152849,Cool roof,401310.0,1.0,2.491839226533104e-06,27289080.0,True
69,+102062+29117,26.15669528555661,91.68430368532754,30.270763560139702,Cool roof,401310.0,1.0,2.491839226533104e-06,27690390.0,True
70,+102068+29080,26.12345761971544,91.68969357708497,30.24669137182744,Cool roof,401310.0,1.0,2.491839226533104e-06,28091700.0,True
71,+102059+29082,26.125254251016447,91.68160873977796,30.23668718965784,Cool roof,401310.0,1.0,2.491839226533104e-06,28493010.0,True
72,+102077+29077,26.120762673522865,91.69777841468024,30.229215226421346,Cool roof,401310.0,1.0,2.491839226533104e-06,28894320.0,True
73,+102071+29120,26.15939023100815,91.6923885227601,30.22691826413061,Cool roof,401310.0,1.0,2.491839226533104e-06,29295630.0,True
74,+102058+29081,26.12435593498225,91.68071042433868,30.22241585326363,Cool roof,401310.0,1.0,2.491839226533104e-06,29696940.0,True
75,+102197+29145,26.181848113592466,91.80557624867684,30.210758452744425,Cool roof,401310.0,1.0,2.491839226533104e-06,30098250.0,True
76,+102049+29091,26.13333908810053,91.67262558700746,30.196803347050224,Cool roof,401310.0,1.0,2.491839226533104e-06,30499560.0,True
77,+102062+29070,26.114474467303022,91.68430368566538,30.19193547388969,Cool roof,401310.0,1.0,2.491839226533104e-06,30900870.0,True
78,+102052+29098,26.13962729508214,91.67532053244382,30.18731780525001,Cool roof,401310.0,1.0,2.491839226533104e-06,31302180.0,True
79,+102070+29120,26.159390230949587,91.69149020789789,30.171183094278263,Cool roof,401310.0,1.0,2.491839226533104e-06,31703490.0,True
80,+102075+29077,26.12076267343757,91.69598178426016,30.1687808405294,Cool roof,401310.0,1.0,2.491839226533104e-06,32104800.0,True
81,+102051+29098,26.13962729509541,91.67442221725337,30.147449198306763,Cool roof,401310.0,1.0,2.491839226533104e-06,32506110.0,True
82,+102064+29080,26.12345761992868,91.6861003160157,30.144251372456537,Cool roof,401310.0,1.0,2.491839226533104e-06,32907420.0,True
83,+102087+29071,26.11537278249272,91.70676156733012,30.13545700449604,Cool roof,401310.0,1.0,2.491839226533104e-06,33308730.0,True
84,+102063+29080,26.12345761978015,91.68520200105924,30.133859532494583,Cool roof,401310.0,1.0,2.491839226533104e-06,33710040.0,True
85,+102104+29096,26.137830664499475,91.72203292741528,30.13326105514667,Cool roof,401310.0,1.0,2.491839226533104e-06,34111350.0,True
86,+102067+29078,26.121660989154037,91.68879526210802,30.12048544372388,Cool roof,401310.0,1.0,2.491839226533104e-06,34512660.0,True
87,+102070+29077,26.120762673713084,91.69149020762028,30.11823974489133,Cool roof,401310.0,1.0,2.491839226533104e-06,34913970.0,True
88,+102065+29079,26.12255930480373,91.68699863114956,30.117557735607576,Cool roof,401310.0,1.0,2.491839226533104e-06,35315280.0,True
89,+102069+29120,26.15939023099958,91.69059189249896,30.10889334133381,Cool roof,401310.0,1.0,2.491839226533104e-06,35716590.0,True
90,+102073+29068,26.112677836501877,91.69418515358332,30.09604985997828,Cool roof,401310.0,1.0,2.491839226533104e-06,36117900.0,True
91,+102055+29083,26.126152565562982,91.67801547851182,30.095069036847853,Cool roof,401310.0,1.0,2.491839226533104e-06,36519210.0,True
92,+102069+29121,26.16028854732434,91.69059189235114,30.08938293946231,Cool roof,401310.0,1.0,2.491839226533104e-06,36920520.0,True
93,+102050+29090,26.13244077247828,91.67352390198332,30.08822052623604,Cool roof,401310.0,1.0,2.491839226533104e-06,37321830.0,True
94,+102064+29131,26.16927169955068,91.68610031597215,30.07993439104351,Cool roof,401310.0,1.0,2.491839226533104e-06,37723140.0,True
95,+102072+29122,26.161186861735924,91.69328683856368,30.07344187730242,Cool roof,401310.0,1.0,2.491839226533104e-06,38124450.0,True
96,+102057+29117,26.156695285482865,91.67981210924684,30.07153142299584,Cool roof,401310.0,1.0,2.491839226533104e-06,38525760.0,True
97,+102125+29128,26.166576753848247,91.74089754865116,30.071329568411333,Cool roof,401310.0,1.0,2.491839226533104e-06,38927070.0,True
98,+102061+29081,26.124355935028888,91.68340537010054,30.069460650041854,Cool roof,401310.0,1.0,2.491839226533104e-06,39328380.0,True
99,+102095+29071,26.115372782306768,91.71394808993207,30.05052494916479,Cool roof,401310.0,1.0,2.491839226533104e-06,39729690.0,True
100,+102049+29120,26.159390230925787,91.6726255872157,30.049948856652748,Cool roof,401310.0,1.0,2.491839226533104e-06,40131000.0,True
101,+102062+29076,26.11986435916686,91.6843036854234,30.048620902765386,Cool roof,401310.0,1.0,2.491839226533104e-06,40532310.0,True
102,+102063+29131,26.169271699675456,91.68520200086716,30.04419661408269,Cool roof,401310.0,1.0,2.491839226533104e-06,40933620.0,True
103,+102081+29122,26.161186861603667,91.70137167597136,30.040997332490967,Cool roof,401310.0,1.0,2.491839226533104e-06,41334930.0,True
104,+102081+29077,26.12076267362861,91.70137167578235,30.034470500609142,Cool roof,401310.0,1.0,2.491839226533104e-06,41736240.0,True
105,+102101+29081,26.124355935243397,91.71933798124844,30.031028363372933,Cool roof,401310.0,1.0,2.491839226533104e-06,42137550.0,True
106,+102049+29092,26.13423740338235,91.67262558715768,30.026435566771767,Cool roof,401310.0,1.0,2.491839226533104e-06,42538860.0,True
107,+102081+29121,26.160288547168708,91.70137167589232,30.02015013282124,Cool roof,401310.0,1.0,2.491839226533104e-06,42940170.0,True
108,+102056+29117,26.15669528539158,91.6789137933554,30.003691960750736,Cool roof,401310.0,1.0,2.491839226533104e-06,43341480.0,True
109,+102101+29080,26.123457619996078,91.71933798133534,30.00114600747607,Cool roof,401310.0,1.0,2.491839226533104e-06,43742790.0,True
110,+102089+29071,26.11537278221212,91.7085581979379,30.00083435817986,Cool roof,401310.0,1.0,2.491839226533104e-06,44144100.0,True
111,+102058+29071,26.11537278231032,91.68071042424724,29.9910745399348,Cool roof,401310.0,1.0,2.491839226533104e-06,44545410.0,True
112,+102124+29128,26.16657675373816,91.7399992331587,29.985432949315246,Cool roof,401310.0,1.0,2.491839226533104e-06,44946720.0,True
113,+102054+29084,26.127050881006603,91.67711716310748,29.98300184073325,Cool roof,401310.0,1.0,2.491839226533104e-06,45348030.0,True
114,+102063+29130,26.16837338408915,91.68520200084548,29.969718823065644,Cool roof,401310.0,1.0,2.491839226533104e-06,45749340.0,True
115,+102057+29071,26.115372782305908,91.67981210953045,29.965286393448807,Cool roof,401310.0,1.0,2.491839226533104e-06,46150650.0,True
116,+102089+29072,26.11627109758621,91.7085581977587,29.962290835467897,Cool roof,401310.0,1.0,2.491839226533104e-06,46551960.0,True
117,+102056+29118,26.157593600787607,91.67891379338226,29.96193101248256,Cool roof,401310.0,1.0,2.491839226533104e-06,46953270.0,True
118,+102055+29118,26.157593600653858,91.6780154783992,29.96165477376571,Cool roof,401310.0,1.0,2.491839226533104e-06,47354580.0,True
119,+102050+29088,26.130644141893985,91.67352390212668,29.958215825240927,Cool roof,401310.0,1.0,2.491839226533104e-06,47755890.0,True
120,+102072+29118,26.157593600880254,91.69328683837034,29.95434608716481,Cool roof,401310.0,1.0,2.491839226533104e-06,48157200.0,True
121,+102103+29084,26.12705088122749,91.72113461200787,29.953093634759437,Cool roof,401310.0,1.0,2.491839226533104e-06,48558510.0,True
122,+102068+29121,26.16028854714825,91.6896935772816,29.952360795171103,Cool roof,401310.0,1.0,2.491839226533104e-06,48959820.0,True
123,+102101+29083,26.126152565684738,91.71933798143868,29.951786762628736,Cool roof,401310.0,1.0,2.491839226533104e-06,49361130.0,True
124,+102062+29077,26.12076267378773,91.68430368532574,29.945770526918075,Cool roof,401310.0,1.0,2.491839226533104e-06,49762440.0,True
125,+102059+29117,26.156695285625503,91.68160873960468,29.94251489258732,Cool roof,401310.0,1.0,2.491839226533104e-06,50163750.0,True
126,+102198+29144,26.18094979805513,91.80647456391092,29.939909607091487,Cool roof,401310.0,1.0,2.491839226533104e-06,50565060.0,True
127,+102064+29071,26.115372782246983,91.686100316115,29.935860513597845,Cool roof,401310.0,1.0,2.491839226533104e-06,50966370.0,True
128,+102077+29075,26.11896604341958,91.69777841470678,29.93565498373256,Cool roof,401310.0,1.0,2.491839226533104e-06,51367680.0,True
129,+102062+29080,26.12345761991516,91.6843036854831,29.932675965888343,Cool roof,401310.0,1.0,2.491839226533104e-06,51768990.0,True
130,+102051+29088,26.130644141920403,91.67442221672438,29.92911312736734,Cool roof,401310.0,1.0,2.491839226533104e-06,52170300.0,True
131,+102102+29081,26.124355935212176,91.7202362967971,29.921842674210897,Cool roof,401310.0,1.0,2.491839226533104e-06,52571610.0,True
132,+102199+29145,26.181848113502163,91.80737287943398,29.912856221841025,Cool roof,401310.0,1.0,2.491839226533104e-06,52972920.0,True
133,+102075+29078,26.12166098942048,91.69598178417068,29.912169820824023,Cool roof,401310.0,1.0,2.491839226533104e-06,53374230.0,True
134,+102051+29087,26.129745826856794,91.67442221683348,29.910661309203928,Cool roof,401310.0,1.0,2.491839226533104e-06,53775540.0,True
135,+102052+29086,26.12884751210475,91.67532053281036,29.91064394720654,Cool roof,401310.0,1.0,2.491839226533104e-06,54176850.0,True
136,+102051+29096,26.137830664580772,91.67442221710928,29.889682972765375,Cool roof,401310.0,1.0,2.491839226533104e-06,54578160.0,True
137,+102199+29146,26.18274642838288,91.80737287940036,29.88950609417394,Cool roof,401310.0,1.0,2.491839226533104e-06,54979470.0,True
138,+102070+29083,26.126152565444883,91.69149020775596,29.88820576047827,Cool roof,401310.0,1.0,2.491839226533104e-06,55380780.0,True
139,+102052+29099,26.14052561010196,91.6753205326981,29.88510864490588,Cool roof,401310.0,1.0,2.491839226533104e-06,55782090.0,True
140,+102071+29122,26.161186861808968,91.6923885227419,29.882299828843387,Cool roof,401310.0,1.0,2.491839226533104e-06,56183400.0,True
141,+102082+29075,26.118966043304336,91.7022699911874,29.88044819608789,Cool roof,401310.0,1.0,2.491839226533104e-06,56584710.0,True
142,+102101+29084,26.12705088096513,91.7193379814896,29.87889604058311,Cool roof,401310.0,1.0,2.491839226533104e-06,56986020.0,True
143,+102068+29117,26.156695285783243,91.68969357706064,29.87717867648395,Cool roof,401310.0,1.0,2.491839226533104e-06,57387330.0,True
144,+102069+29126,26.16478012290081,91.6905918926476,29.869026865865944,Cool roof,401310.0,1.0,2.491839226533104e-06,57788640.0,True
145,+102073+29122,26.161186861589623,91.69418515317238,29.86863883439132,Cool roof,401310.0,1.0,2.491839226533104e-06,58189950.0,True
146,+102073+29123,26.162085177191987,91.69418515326612,29.86773609346237,Cool roof,401310.0,1.0,2.491839226533104e-06,58591260.0,True
147,+102063+29076,26.119864359153624,91.6852020009503,29.86154875367319,Cool roof,401310.0,1.0,2.491839226533104e-06,58992570.0,True
148,+102063+29132,26.17017001498587,91.68520200085096,29.85625702857543,Cool roof,401310.0,1.0,2.491839226533104e-06,59393880.0,True
149,+102058+29117,26.156695285682183,91.68071042424326,29.855051997625544,Cool roof,401310.0,1.0,2.491839226533104e-06,59795190.0,True
150,+102080+29074,26.118067728469278,91.70047336052036,29.851480640533023,Cool roof,401310.0,1.0,2.491839226533104e-06,60196500.0,True
151,+102070+29116,26.15579696999583,91.69149020781256,29.850867607217424,Cool roof,401310.0,1.0,2.491839226533104e-06,60597810.0,True
152,+102088+29073,26.117169412936647,91.7076598830526,29.84858481299165,Cool roof,401310.0,1.0,2.491839226533104e-06,60999120.0,True
153,+102073+29124,26.162983492731144,91.69418515332444,29.847035501276167,Cool roof,401310.0,1.0,2.491839226533104e-06,61400430.0,True
154,+102135+29146,26.182746428604737,91.74988070113125,29.84141061823064,Cool roof,401310.0,1.0,2.491839226533104e-06,61801740.0,True
155,+102067+29121,26.16028854708057,91.68879526212676,29.838555403190394,Cool roof,401310.0,1.0,2.491839226533104e-06,62203050.0,True
156,+102070+29117,26.156695285569345,91.691490207719,29.83543413597284,Cool roof,401310.0,1.0,2.491839226533104e-06,62604360.0,True
157,+102072+29121,26.160288547230152,91.69328683856912,29.81914812009779,Cool roof,401310.0,1.0,2.491839226533104e-06,63005670.0,True
158,+102064+29079,26.122559304887755,91.68610031597564,29.818621124414243,Cool roof,401310.0,1.0,2.491839226533104e-06,63406980.0,True
159,+102053+29085,26.127949196052967,91.67621884800138,29.81736631009078,Cool roof,401310.0,1.0,2.491839226533104e-06,63808290.0,True
160,+102068+29120,26.159390231157968,91.6896935771118,29.817233241225576,Cool roof,401310.0,1.0,2.491839226533104e-06,64209600.0,True
161,+102082+29076,26.11986435926967,91.70226999113726,29.811541961652743,Cool roof,401310.0,1.0,2.491839226533104e-06,64610910.0,True
162,+102051+29097,26.138728979888164,91.6744222173146,29.81035483400837,Cool roof,401310.0,1.0,2.491839226533104e-06,65012220.0,True
163,+102060+29118,26.157593600947116,91.68250705463458,29.80849962727306,Cool roof,401310.0,1.0,2.491839226533104e-06,65413530.0,True
164,+102063+29071,26.11537278219037,91.68520200092637,29.806100166512007,Cool roof,401310.0,1.0,2.491839226533104e-06,65814840.0,True
165,+102035+29096,26.13783066445604,91.66004917304416,29.803374387437167,Cool roof,401310.0,1.0,2.491839226533104e-06,66216150.0,True
166,+102074+29075,26.118966043274035,91.69508346909664,29.80318821037013,Cool roof,401310.0,1.0,2.491839226533104e-06,66617460.0,True
167,+102074+29079,26.12255930495664,91.69508346898616,29.801757272527947,Cool roof,401310.0,1.0,2.491839226533104e-06,67018770.0,True
168,+102070+29122,26.16118686162693,91.69149020783588,29.800841293119596,Cool roof,401310.0,1.0,2.491839226533104e-06,67420080.0,True
169,+102071+29117,26.156695285533097,91.69238852285632,29.794943311218603,Cool roof,401310.0,1.0,2.491839226533104e-06,67821390.0,True
170,+102062+29081,26.124355935126253,91.68430368545982,29.79438776362432,Cool roof,401310.0,1.0,2.491839226533104e-06,68222700.0,True
171,+102053+29086,26.12884751203728,91.676218848001,29.792869281261808,Cool roof,401310.0,1.0,2.491839226533104e-06,68624010.0,True
172,+102180+29147,26.183644744077707,91.79030488926352,29.792629822472083,Cool roof,401310.0,1.0,2.491839226533104e-06,69025320.0,True
173,+102050+29092,26.134237403174872,91.67352390190396,29.791398838647588,Cool roof,401310.0,1.0,2.491839226533104e-06,69426630.0,True
174,+102055+29117,26.15669528559016,91.67801547850652,29.78377948748956,Cool roof,401310.0,1.0,2.491839226533104e-06,69827940.0,True
175,+102060+29082,26.1252542510616,91.6825070546623,29.78054144098465,Cool roof,401310.0,1.0,2.491839226533104e-06,70229250.0,True
176,+102071+29118,26.157593601019485,91.6923885228602,29.780215631117333,Cool roof,401310.0,1.0,2.491839226533104e-06,70630560.0,True
177,+102056+29083,26.12615256553375,91.67891379322651,29.77440044766861,Cool roof,401310.0,1.0,2.491839226533104e-06,71031870.0,True
178,+102081+29074,26.118067728318856,91.70137167585516,29.76701849113128,Cool roof,401310.0,1.0,2.491839226533104e-06,71433180.0,True
179,+102058+29082,26.125254250891068,91.68071042422478,29.76406866713392,Cool roof,401310.0,1.0,2.491839226533104e-06,71834490.0,True
180,+102180+29146,26.182746428367828,91.79030488925416,29.760709158346657,Cool roof,401310.0,1.0,2.491839226533104e-06,72235800.0,True
181,+102134+29146,26.182746428446517,91.74898238609607,29.760276638774496,Cool roof,401310.0,1.0,2.491839226533104e-06,72637110.0,True
182,+102076+29118,26.15759360085769,91.6968800992785,29.757539510031386,Cool roof,401310.0,1.0,2.491839226533104e-06,73038420.0,True
183,+102135+29145,26.181848113498614,91.74988070130551,29.75559908449372,Cool roof,401310.0,1.0,2.491839226533104e-06,73439730.0,True
184,+102068+29118,26.157593600629674,91.6896935771144,29.75357321544693,Cool roof,401310.0,1.0,2.491839226533104e-06,73841040.0,True
185,+102063+29079,26.122559304891023,91.68520200091908,29.750806815181587,Cool roof,401310.0,1.0,2.491839226533104e-06,74242350.0,True
186,+102049+29093,26.13513571878353,91.67262558704128,29.743503937667384,Cool roof,401310.0,1.0,2.491839226533104e-06,74643660.0,True
187,+102067+29122,26.161186861732933,91.68879526189896,29.73483202028262,Cool roof,401310.0,1.0,2.491839226533104e-06,75044970.0,True
188,+102055+29084,26.127050881025724,91.67801547861843,29.73127927234312,Cool roof,401310.0,1.0,2.491839226533104e-06,75446280.0,True
189,+102075+29076,26.11986435938044,91.69598178431468,29.72776979002098,Cool roof,401310.0,1.0,2.491839226533104e-06,75847590.0,True
190,+102052+29119,26.158491916326405,91.67532053273383,29.72614517198915,Cool roof,401310.0,1.0,2.491839226533104e-06,76248900.0,True
191,+102072+29117,26.1566952856047,91.69328683845816,29.72260277968925,Cool roof,401310.0,1.0,2.491839226533104e-06,76650210.0,True
192,+102051+29118,26.157593600654018,91.67442221703536,29.71816138254191,Cool roof,401310.0,1.0,2.491839226533104e-06,77051520.0,True
193,+102197+29146,26.18274642866865,91.80557624858984,29.718159890522134,Cool roof,401310.0,1.0,2.491839226533104e-06,77452830.0,True
