grid_id,lat,lon,land_cover,priority,LST,NDVI,recommended_action,cost_estimate,cooling_c,cooling_per_rupee
+102027+29089,26.13154245740617,91.65286265073948,cropland,Medium,27.68271835506017,0.5501770227431244,Tree cover,334425.0,0.8,2.39216565747178e-06
+102027+29090,26.13244077271643,91.6528626508682,cropland,Medium,27.27964757486036,0.3067664911924153,Tree cover,334425.0,0.8,2.39216565747178e-06
+102027+29091,26.13333908823513,91.6528626507252,cropland,Medium,28.11133096611385,0.5254751046022779,Tree cover,334425.0,0.8,2.39216565747178e-06
+102027+29092,26.13423740319093,91.6528626507625,cropland,Medium,29.36365928938727,0.577921972833432,Tree cover,334425.0,0.8,2.39216565747178e-06
+102027+29093,26.13513571881288,91.6528626507542,cropland,Medium,29.907269544944143,0.5612465902671757,Tree cover,334425.0,0.8,2.39216565747178e-06
+102027+29094,26.136034034275053,91.65286265070026,cropland,Medium,29.947350125838007,0.603326099834494,Tree cover,334425.0,0.8,2.39216565747178e-06
+102027+29095,26.13693234890759,91.6528626508262,cropland,Medium,29.941532082973204,0.5340331033588234,Tree cover,334425.0,0.8,2.39216565747178e-06
+102027+29096,26.13783066475272,91.65286265068065,built_up,Medium,29.611658552653648,0.4930828161283289,Cool roof,535080.0,1.0,1.868879419899828e-06
+102027+29097,26.138728979618048,91.65286265071556,built_up,Medium,28.401440784106157,0.4403048128897926,Cool roof,535080.0,1.0,1.868879419899828e-06
+102028+29088,26.130644142018244,91.6537609654748,grassland,Medium,25.04374411077641,0.1862587898875706,Tree cover,334425.0,0.8,2.39216565747178e-06
+102028+29089,26.131542457579823,91.653760965551,grassland,Medium,26.058723645989165,0.2648304661201942,Tree cover,334425.0,0.8,2.39216565747178e-06
+102028+29090,26.132440772671195,91.6537609655816,grassland,Medium,27.26297364848327,0.3958016282029671,Tree cover,334425.0,0.8,2.39216565747178e-06
+102028+29091,26.133339088153225,91.65376096556685,cropland,Medium,27.87599398617157,0.497605041671484,Tree cover,334425.0,0.8,2.39216565747178e-06
+102028+29092,26.1342374032544,91.65376096550668,cropland,Medium,29.01480319664133,0.5084690339274002,Tree cover,334425.0,0.8,2.39216565747178e-06
+102028+29093,26.135135718657484,91.65376096540092,cropland,Medium,29.80833190695609,0.5480839424297594,Tree cover,334425.0,0.8,2.39216565747178e-06
+102028+29094,26.136034034447057,91.65376096547546,cropland,Medium,29.742924733441445,0.5554087656246754,Tree cover,334425.0,0.8,2.39216565747178e-06
+102028+29095,26.13693234886089,91.653760965505,cropland,Medium,29.726825060750024,0.4970335807004056,Tree cover,334425.0,0.8,2.39216565747178e-06
+102028+29096,26.13783066466918,91.65376096548898,cropland,Medium,29.67351437680964,0.5438839048218371,Tree cover,334425.0,0.8,2.39216565747178e-06
+102028+29097,26.138728979862098,91.65376096565322,built_up,Medium,28.80308960304395,0.4397675731538651,Cool roof,535080.0,1.0,1.868879419899828e-06
+102029+29090,26.132440772547323,91.65465928142602,grassland,Medium,25.18852823984639,0.2498025970355967,Tree cover,334425.0,0.8,2.39216565747178e-06
+102029+29091,26.13333908817457,91.6546592813136,grassland,Medium,26.28180592504542,0.3015047910515708,Tree cover,334425.0,0.8,2.39216565747178e-06
+102029+29092,26.134237403239425,91.65465928138164,cropland,Medium,29.25565332745833,0.5105766183969259,Tree cover,334425.0,0.8,2.39216565747178e-06
+102029+29093,26.1351357187879,91.65465928163064,cropland,Medium,29.972552652845707,0.5816281298226442,Tree cover,334425.0,0.8,2.39216565747178e-06
+102029+29094,26.13603403417689,91.65465928138272,cropland,Medium,29.25564921358592,0.6070330238232946,Tree cover,334425.0,0.8,2.39216565747178e-06
+102029+29095,26.13693234910037,91.6546592813151,cropland,Medium,28.13959419948153,0.4379187345393812,Tree cover,334425.0,0.8,2.39216565747178e-06
+102029+29096,26.137830664507927,91.65465928142817,cropland,Medium,28.68664734261174,0.4832948172431725,Tree cover,334425.0,0.8,2.39216565747178e-06
+102029+29097,26.13872898002842,91.6546592812702,cropland,Medium,29.48808113752097,0.5631692456432839,Tree cover,334425.0,0.8,2.39216565747178e-06
+102030+29087,26.12974582696147,91.6555575961838,cropland,Medium,28.018711861754596,0.4770433245929562,Tree cover,334425.0,0.8,2.39216565747178e-06
