system:index,Heat_Risk,LST,LandCover,Latitude,Longitude,NDBI,NDVI,Vegetation,count,grid_id,.geo
+102027+29089,-0.2014114259531121,27.68271835506017,40.0,26.13154245740617,91.65286265073948,-0.23562645820911315,0.5501770227431244,1.0,1,+102027+29089,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[91.65241349286242,26.131093299752763],[91.65331180814654,26.131093299752763],[91.65331180814654,26.13199161503688],[91.65241349286242,26.13199161503688],[91.65241349286242,26.131093299752763]]]}"
+102027+29090,0.013208335583324916,27.27964757486036,40.0,26.13244077271643,91.65286265086819,-0.40670380003120776,0.30676649119241534,1.0,1,+102027+29090,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[91.65241349286242,26.13199161503688],[91.65331180814654,26.13199161503688],[91.65331180814654,26.132889930321],[91.65241349286242,26.132889930321],[91.65241349286242,26.13199161503688]]]}"
+102027+29091,-0.14609432130843164,28.11133096611385,40.0,26.13333908823513,91.65286265072521,-0.3065254521467559,0.5254751046022779,1.0,1,+102027+29091,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[91.65241349286242,26.132889930321],[91.65331180814654,26.132889930321],[91.65331180814654,26.13378824560512],[91.65241349286242,26.13378824560512],[91.65241349286242,26.132889930321]]]}"
+102027+29092,-0.10908916644862754,29.36365928938727,40.0,26.13423740319093,91.6528626507625,-0.1841854935642032,0.577921972833432,1.0,1,+102027+29092,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[91.65241349286242,26.13378824560512],[91.65331180814654,26.13378824560512],[91.65331180814654,26.13468656088924],[91.65241349286242,26.13468656088924],[91.65241349286242,26.13378824560512]]]}"
+102027+29093,-0.053584479914022126,29.907269544944146,40.0,26.13513571881288,91.65286265075419,-0.1263340522191395,0.5612465902671757,1.0,1,+102027+29093,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[91.65241349286242,26.13468656088924],[91.65331180814654,26.13468656088924],[91.65331180814654,26.13558487617336],[91.65241349286242,26.13558487617336],[91.65241349286242,26.13468656088924]]]}"
+102027+29094,-0.09280109084606487,29.947350125838007,40.0,26.136034034275053,91.65286265070026,-0.20030681098736472,0.603326099834494,1.0,1,+102027+29094,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[91.65241349286242,26.13558487617336],[91.65331180814654,26.13558487617336],[91.65331180814654,26.13648319145748],[91.65241349286242,26.13648319145748],[91.65241349286242,26.13558487617336]]]}"
+102027+29095,-0.023923668860737938,29.941532082973204,40.0,26.13693234890759,91.6528626508262,-0.14245577150051084,0.5340331033588234,1.0,1,+102027+29095,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[91.65241349286242,26.13648319145748],[91.65331180814654,26.13648319145748],[91.65331180814654,26.137381506741598],[91.65241349286242,26.137381506741598],[91.65241349286242,26.13648319145748]]]}"
+102027+29096,-0.0065357766530682445,29.611658552653648,50.0,26.137830664752716,91.65286265068065,-0.16234917000160584,0.49308281612832894,0.593356602219695,1,+102027+29096,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[91.65241349286242,26.137381506741598],[91.65331180814654,26.137381506741598],[91.65331180814654,26.13827982202572],[91.65241349286242,26.13827982202572],[91.65241349286242,26.137381506741598]]]}"
+102027+29097,-0.04020189973935277,28.401440784106153,50.0,26.138728979618048,91.65286265071556,-0.0851055078912165,0.4403048128897926,0.2932664026040237,1,+102027+29097,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[91.65241349286242,26.13827982202572],[91.65331180814654,26.13827982202572],[91.65331180814654,26.139178137309838],[91.65241349286242,26.139178137309838],[91.65241349286242,26.13827982202572]]]}"
+102027+29098,-0.1073592301755579,28.63910774886367,10.0,26.139627295293277,91.65286265070468,-0.13992970057619344,0.5244383550943914,0.9133644133644133,1,+102027+29098,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[91.65241349286242,26.139178137309838],[91.65331180814654,26.139178137309838],[91.65331180814654,26.140076452593956],[91.65241349286242,26.140076452593956],[91.65241349286242,26.139178137309838]]]}"
+102028+29088,-0.025991353403541174,25.04374411077641,30.0,26.130644142018244,91.65376096547479,-0.4998362758845911,0.18625878988757066,0.6743460764587526,1,+102028+29088,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[91.65331180814654,26.13019498446864],[91.65421012343066,26.13019498446864],[91.65421012343066,26.131093299752763],[91.65331180814654,26.131093299752763],[91.65331180814654,26.13019498446864]]]}"
+102028+29089,-0.032064491406682986,26.058723645989165,30.0,26.131542457579823,91.65376096555099,-0.42115838599271765,0.2648304661201942,0.7519902741283973,1,+102028+29089,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[91.65331180814654,26.131093299752763],[91.65421012343066,26.131093299752763],[91.65421012343066,26.13199161503688],[91.65331180814654,26.13199161503688],[91.65331180814654,26.131093299752763]]]}"
+102028+29090,-0.0770177961684478,27.26297364848327,30.0,26.132440772671195,91.6537609655816,-0.31061114061395684,0.39580162820296716,1.0,1,+102028+29090,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[91.65331180814654,26.13199161503688],[91.65421012343066,26.13199161503688],[91.65421012343066,26.132889930321],[91.65331180814654,26.132889930321],[91.65331180814654,26.13199161503688]]]}"
